Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18 00:00:00-04:00,2575.0,2575.0,2575.0,2575.0,2575.0,0
2012-06-19 00:00:00-04:00,2575.0,2280.0,2280.0,2575.0,2575.0,8800
2012-06-20 00:00:00-04:00,2575.0,2380.0,2380.0,2575.0,2575.0,2290
2012-06-21 00:00:00-04:00,2575.0,2380.0,2380.0,2575.0,2575.0,800
2012-06-22 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-06-25 00:00:00-04:00,2380.0,2285.0,2285.0,2380.0,2380.0,800
2012-06-26 00:00:00-04:00,2380.0,2285.0,2285.0,2380.0,2380.0,800
2012-06-27 00:00:00-04:00,2575.0,2060.0,2060.0,2575.0,2575.0,800
2012-06-28 00:00:00-04:00,2575.0,2060.0,2060.0,2575.0,2575.0,800
2012-06-29 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-02 00:00:00-04:00,2575.0,2575.0,2575.0,2575.0,2575.0,0
2012-07-03 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-05 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-06 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-09 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-10 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-11 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-12 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-13 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-16 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-17 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-18 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-19 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-20 00:00:00-04:00,2575.0,2575.0,2575.0,2575.0,2575.0,0
2012-07-23 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-24 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-25 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-26 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
2012-07-27 00:00:00-04:00,2575.0,2285.0,2285.0,2575.0,2575.0,800
